City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Megion,RU,2021-12-06 21:41:29,61.0296,76.1136,-18.38,92,100,6.04
107,Rikitea,PF,2021-12-06 21:37:38,-23.1203,-134.9692,76.3,73,67,8.5
108,Guerrero Negro,MX,2021-12-06 21:38:45,27.9769,-114.0611,73.67,46,0,9.4
109,Qaqortoq,GL,2021-12-06 21:41:30,60.7167,-46.0333,21.7,72,27,29.57
110,Maniitsoq,GL,2021-12-06 21:41:30,65.4167,-52.9,23.38,59,100,19.08
111,Manicore,BR,2021-12-06 21:41:30,-5.8092,-61.3003,75.83,96,82,4.09
112,Inhambane,MZ,2021-12-06 21:41:31,-23.865,35.3833,77.0,85,59,7.65
113,Puerto Ayora,EC,2021-12-06 21:38:52,-0.7393,-90.3518,76.96,76,52,9.08
114,Luderitz,NA,2021-12-06 21:41:31,-26.6481,15.1594,63.46,77,0,18.57
115,Atuona,PF,2021-12-06 21:37:36,-9.8,-139.0333,79.21,67,13,20.11
116,Fortuna,US,2021-12-06 21:41:32,40.5982,-124.1573,51.66,68,100,1.01
117,Camocim,BR,2021-12-06 21:41:32,-2.9022,-40.8411,82.33,75,82,18.79
118,Saint-Georges,GD,2021-12-06 21:41:32,12.0564,-61.7485,83.88,70,20,17.27
119,Ashtian,IR,2021-12-06 21:41:32,34.5217,50.0019,34.41,83,6,5.39
120,Lebu,CL,2021-12-06 21:41:32,-37.6167,-73.65,61.92,77,3,13.47
121,Narsaq,GL,2021-12-06 21:38:54,60.9167,-46.05,21.42,66,75,19.35
122,Batagay-Alyta,RU,2021-12-06 21:41:33,67.8006,130.4114,-33.99,91,100,5.48
123,Avarua,CK,2021-12-06 21:37:35,-21.2078,-159.775,75.25,88,90,17.27
124,Rio Gallegos,AR,2021-12-06 21:41:33,-51.6226,-69.2181,77.05,23,75,36.82
125,Kabo,CF,2021-12-06 21:41:34,7.6994,18.629,78.46,28,94,1.63
126,Jhunjhunun,IN,2021-12-06 21:41:34,28.1307,75.4014,58.98,43,0,5.26
127,Hermanus,ZA,2021-12-06 21:38:44,-34.4187,19.2345,59.9,76,5,1.74
128,Cape Town,ZA,2021-12-06 21:41:34,-33.9258,18.4232,61.27,70,0,1.99
129,Pevek,RU,2021-12-06 21:41:35,69.7008,170.3133,-12.01,94,100,13.96
130,Codrington,AU,2021-12-06 21:41:35,-38.2667,141.9667,57.09,58,99,14.61
131,Bethel,US,2021-12-06 21:41:32,41.3712,-73.414,57.49,88,75,5.99
132,Cabra,ES,2021-12-06 21:41:35,37.4725,-4.4421,47.39,80,6,1.99
133,Amqui,CA,2021-12-06 21:41:09,48.4638,-67.4313,28.89,94,100,20.83
134,Jalingo,NG,2021-12-06 21:41:36,8.8833,11.3667,80.33,24,72,2.89
135,Hofn,IS,2021-12-06 21:41:36,64.2539,-15.2082,37.98,68,100,16.96
136,Kapaa,US,2021-12-06 21:37:32,22.0752,-159.319,71.92,80,90,12.66
